@relation InstanceResultListener

@attribute Key_Dataset {iris,breast-cancer,german_credit,pima_diabetes,Glass,ionosphere}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.SMO,weka.classifiers.rules.OneR,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk,weka.classifiers.functions.Logistic,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ‚"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007‚" -calibrator ‚"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4‚"','-B 6','','-K 1 -W 0 -A ‚"weka.core.neighboursearch.LinearNNSearch -A ‚‚‚"weka.core.EuclideanDistance -R first-last‚‚‚"‚"','-R 1.0E-8 -M -1 -num-decimal-places 4','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-217733168393644444,-6585883636378691736,-3459427003147861443,48055541465867954,5995231201785697655,-3080186098777067172,3932117032546553727,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4‚nSize of the tree: 7‚n','Number of leaves: 5‚nSize of the tree: 9‚n','Number of leaves: 3‚nSize of the tree: 5‚n','Number of leaves: 6‚nSize of the tree: 11‚n','Number of leaves: 27‚nSize of the tree: 32‚n','Number of leaves: 16‚nSize of the tree: 19‚n','Number of leaves: 4‚nSize of the tree: 6‚n','Number of leaves: 17‚nSize of the tree: 21‚n','Number of leaves: 23‚nSize of the tree: 28‚n','Number of leaves: 18‚nSize of the tree: 22‚n','Number of leaves: 6‚nSize of the tree: 10‚n','Number of leaves: 19‚nSize of the tree: 23‚n','Number of leaves: 39‚nSize of the tree: 46‚n','Number of leaves: 15‚nSize of the tree: 21‚n','Number of leaves: 8‚nSize of the tree: 13‚n','Number of leaves: 8‚nSize of the tree: 11‚n','Number of leaves: 17‚nSize of the tree: 20‚n','Number of leaves: 14‚nSize of the tree: 19‚n','Number of leaves: 28‚nSize of the tree: 34‚n','Number of leaves: 24‚nSize of the tree: 30‚n','Number of leaves: 10‚nSize of the tree: 15‚n','Number of leaves: 30‚nSize of the tree: 38‚n','Number of leaves: 31‚nSize of the tree: 37‚n','Number of leaves: 26‚nSize of the tree: 31‚n','Number of leaves: 85‚nSize of the tree: 127‚n','Number of leaves: 40‚nSize of the tree: 60‚n','Number of leaves: 84‚nSize of the tree: 125‚n','Number of leaves: 81‚nSize of the tree: 111‚n','Number of leaves: 67‚nSize of the tree: 94‚n','Number of leaves: 81‚nSize of the tree: 118‚n','Number of leaves: 114‚nSize of the tree: 152‚n','Number of leaves: 92‚nSize of the tree: 127‚n','Number of leaves: 66‚nSize of the tree: 96‚n','Number of leaves: 121‚nSize of the tree: 164‚n','Number of leaves: 96‚nSize of the tree: 133‚n','Number of leaves: 94‚nSize of the tree: 130‚n','Number of leaves: 109‚nSize of the tree: 149‚n','Number of leaves: 116‚nSize of the tree: 165‚n','Number of leaves: 98‚nSize of the tree: 134‚n','Number of leaves: 79‚nSize of the tree: 113‚n','Number of leaves: 91‚nSize of the tree: 123‚n','Number of leaves: 74‚nSize of the tree: 103‚n','Number of leaves: 82‚nSize of the tree: 115‚n','Number of leaves: 100‚nSize of the tree: 143‚n','Number of leaves: 86‚nSize of the tree: 119‚n','Number of leaves: 77‚nSize of the tree: 115‚n','Number of leaves: 88‚nSize of the tree: 125‚n','Number of leaves: 68‚nSize of the tree: 100‚n','Number of leaves: 93‚nSize of the tree: 135‚n','Number of leaves: 88‚nSize of the tree: 126‚n','Number of leaves: 105‚nSize of the tree: 141‚n','Number of leaves: 96‚nSize of the tree: 138‚n','Number of leaves: 90‚nSize of the tree: 132‚n','Number of leaves: 101‚nSize of the tree: 139‚n','Number of leaves: 78‚nSize of the tree: 111‚n','Number of leaves: 87‚nSize of the tree: 122‚n','Number of leaves: 102‚nSize of the tree: 146‚n','Number of leaves: 76‚nSize of the tree: 113‚n','Number of leaves: 82‚nSize of the tree: 114‚n','Number of leaves: 135‚nSize of the tree: 185‚n','Number of leaves: 120‚nSize of the tree: 165‚n','Number of leaves: 91‚nSize of the tree: 126‚n','Number of leaves: 77‚nSize of the tree: 106‚n','Number of leaves: 105‚nSize of the tree: 146‚n','Number of leaves: 93‚nSize of the tree: 133‚n','Number of leaves: 95‚nSize of the tree: 129‚n','Number of leaves: 95‚nSize of the tree: 135‚n','Number of leaves: 100‚nSize of the tree: 141‚n','Number of leaves: 69‚nSize of the tree: 100‚n','Number of leaves: 80‚nSize of the tree: 110‚n','Number of leaves: 58‚nSize of the tree: 80‚n','Number of leaves: 113‚nSize of the tree: 157‚n','Number of leaves: 89‚nSize of the tree: 123‚n','Number of leaves: 91‚nSize of the tree: 131‚n','Number of leaves: 116‚nSize of the tree: 160‚n','Number of leaves: 95‚nSize of the tree: 136‚n','Number of leaves: 105‚nSize of the tree: 150‚n','Number of leaves: 71‚nSize of the tree: 105‚n','Number of leaves: 88‚nSize of the tree: 117‚n','Number of leaves: 102‚nSize of the tree: 141‚n','Number of leaves: 110‚nSize of the tree: 154‚n','Number of leaves: 79‚nSize of the tree: 115‚n','Number of leaves: 65‚nSize of the tree: 94‚n','Number of leaves: 80‚nSize of the tree: 112‚n','Number of leaves: 99‚nSize of the tree: 134‚n','Number of leaves: 85‚nSize of the tree: 122‚n','Number of leaves: 84‚nSize of the tree: 121‚n','Number of leaves: 92‚nSize of the tree: 126‚n','Number of leaves: 113‚nSize of the tree: 162‚n','Number of leaves: 64‚nSize of the tree: 90‚n','Number of leaves: 77‚nSize of the tree: 112‚n','Number of leaves: 87‚nSize of the tree: 128‚n','Number of leaves: 93‚nSize of the tree: 131‚n','Number of leaves: 83‚nSize of the tree: 118‚n','Number of leaves: 71‚nSize of the tree: 104‚n','Number of leaves: 92‚nSize of the tree: 133‚n','Number of leaves: 105‚nSize of the tree: 145‚n','Number of leaves: 109‚nSize of the tree: 151‚n','Number of leaves: 84‚nSize of the tree: 113‚n','Number of leaves: 79‚nSize of the tree: 114‚n','Number of leaves: 88‚nSize of the tree: 129‚n','Number of leaves: 61‚nSize of the tree: 88‚n','Number of leaves: 73‚nSize of the tree: 110‚n','Number of leaves: 96‚nSize of the tree: 131‚n','Number of leaves: 118‚nSize of the tree: 172‚n','Number of leaves: 97‚nSize of the tree: 138‚n','Number of leaves: 84‚nSize of the tree: 115‚n','Number of leaves: 116‚nSize of the tree: 158‚n','Number of leaves: 82‚nSize of the tree: 119‚n','Number of leaves: 98‚nSize of the tree: 132‚n','Number of leaves: 120‚nSize of the tree: 166‚n','Number of leaves: 88‚nSize of the tree: 122‚n','Number of leaves: 99‚nSize of the tree: 136‚n','Number of leaves: 95‚nSize of the tree: 130‚n','Number of leaves: 94‚nSize of the tree: 128‚n','Number of leaves: 84‚nSize of the tree: 118‚n','Number of leaves: 95‚nSize of the tree: 134‚n','Number of leaves: 75‚nSize of the tree: 110‚n','Number of leaves: 17‚nSize of the tree: 33‚n','Number of leaves: 16‚nSize of the tree: 31‚n','Number of leaves: 24‚nSize of the tree: 47‚n','Number of leaves: 19‚nSize of the tree: 37‚n','Number of leaves: 15‚nSize of the tree: 29‚n','Number of leaves: 13‚nSize of the tree: 25‚n','Number of leaves: 9‚nSize of the tree: 17‚n','Number of leaves: 30‚nSize of the tree: 59‚n','Number of leaves: 22‚nSize of the tree: 43‚n','Number of leaves: 27‚nSize of the tree: 53‚n','Number of leaves: 21‚nSize of the tree: 41‚n','Number of leaves: 18‚nSize of the tree: 35‚n','Number of leaves: 25‚nSize of the tree: 49‚n','Number of leaves: 26‚nSize of the tree: 51‚n','Number of leaves: 31‚nSize of the tree: 61‚n','Number of leaves: 32‚nSize of the tree: 63‚n','Number of leaves: 20‚nSize of the tree: 39‚n','Number of leaves: 23‚nSize of the tree: 45‚n','Number of leaves: 28‚nSize of the tree: 55‚n','Number of leaves: 12‚nSize of the tree: 23‚n','Number of leaves: 14‚nSize of the tree: 27‚n','Number of leaves: 29‚nSize of the tree: 57‚n','Number of leaves: 36‚nSize of the tree: 71‚n','Number of leaves: 35‚nSize of the tree: 69‚n','Number of leaves: 38‚nSize of the tree: 75‚n','Number of leaves: 10‚nSize of the tree: 19‚n','Number of leaves: 33‚nSize of the tree: 65‚n','Number of leaves: 11‚nSize of the tree: 21‚n','Number of leaves: 7‚nSize of the tree: 13‚n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data
iris,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.057594,0.211926,12.958643,44.956331,23.774438,1074.434641,-1050.660203,1.584963,71.628976,-70.044014,21.169872,1.411325,89.044679,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.916667,0.9,0.93266,0.933333,0,0,0,0,0,0,4236,10633,2353,93.333333,33.333333,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.048677,0.206105,10.952381,43.721444,23.774438,5.566145,18.208293,1.584963,0.371076,1.213886,21.465451,1.43103,90.287944,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.966667,0.911111,0.93266,0.933333,0,0,0,0,0,0,4236,10633,2353,93.333333,33.333333,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,13,2,0,86.666667,13.333333,0,0.8,0.09199,0.298263,20.697674,63.271202,23.774438,2148.101842,-2124.327404,1.584963,143.206789,-141.621827,19.332746,1.28885,81.317362,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.9,0.815873,0.861111,0.866667,0,0,0,0,0,0,4236,10633,2353,86.666667,33.333333,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.055032,0.209015,12.382303,44.338778,23.774438,1074.347856,-1050.573419,1.584963,71.62319,-70.038228,21.256656,1.41711,89.409713,0.8,4,0,0,1,10,0.2,1,1,0.8,0.888889,0.852803,0.9,0.866667,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0,0,0,0,0,4640,10633,2353,93.333333,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,13,2,0,86.666667,13.333333,0,0.8,0.092929,0.298296,20.909091,63.278213,23.774438,2148.132667,-2124.35823,1.584963,143.208844,-141.623882,19.30192,1.286795,81.187704,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.873333,0.804444,0.866667,0.866667,0,0,0,0,0,0,4640,10633,2353,86.666667,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,13,2,0,86.666667,13.333333,0,0.8,0.103175,0.276243,23.214286,58.599974,23.774438,7.901876,15.872562,1.584963,0.526792,1.058171,18.953699,1.26358,79.723016,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.933333,0.838095,0.861111,0.866667,0,0,0,0,0,0,3832,10633,2353,100,48.888889,'Number of leaves: 3‚nSize of the tree: 5‚n',5,3,3
iris,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.009401,0.014865,2.115172,3.153328,23.774438,0.308798,23.465639,1.584963,0.020587,1.564376,23.465639,1.564376,98.701133,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,3,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.009401,0.014865,2.115172,3.153328,23.774438,0.308798,23.465639,1.584963,0.020587,1.564376,23.465639,1.564376,98.701133,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,13,2,0,86.666667,13.333333,0,0.8,0.09199,0.294859,20.697674,62.549061,23.774438,1079.562054,-1055.787617,1.584963,71.970804,-70.385841,19.332746,1.28885,81.317362,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.896667,0.812698,0.861111,0.866667,0,0,0,0,0,0,4236,10633,2353,86.666667,33.333333,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,4,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,4,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,13,2,0,86.666667,13.333333,0,0.8,0.106667,0.303252,24,64.329399,23.774438,1080.206502,-1056.432064,1.584963,72.013767,-70.428804,18.752361,1.250157,78.876148,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.91,0.805556,0.866667,0.866667,0,0,0,0,0,0,4236,10633,2353,86.666667,35.555556,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,4,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,13,2,0,86.666667,13.333333,0,0.8,0.112399,0.298287,25.289855,63.276265,23.774438,1078.912751,-1055.138313,1.584963,71.927517,-70.342554,18.557733,1.237182,78.057508,0.8,4,0,0,1,10,0.2,1,1,0.8,0.888889,0.852803,0.9,0.866667,0.866667,0.066667,0.933333,0.133333,0.877778,0.866667,0.865993,0.806276,0.906667,0.801414,0.865993,0.866667,0,0,0,0,0,0,4236,10633,2353,93.333333,46.666667,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,4,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,4,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.009401,0.014865,2.115172,3.153328,23.774438,0.308798,23.465639,1.584963,0.020587,1.564376,23.465639,1.564376,98.701133,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,4,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,4,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,4,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.048677,0.211057,10.952381,44.772035,23.774438,1074.139062,-1050.364624,1.584963,71.609271,-70.024308,21.465451,1.43103,90.287944,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0,0,0,0,0,4640,10633,2353,93.333333,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,4,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,13,2,0,86.666667,13.333333,0,0.8,0.105724,0.303148,23.787879,64.307429,23.774438,1080.143895,-1056.369457,1.584963,72.009593,-70.42463,18.783291,1.252219,79.006249,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.91,0.805556,0.866667,0.866667,0,0,0,0,0,0,4236,10633,2353,86.666667,35.555556,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,5,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.053845,0.211342,12.115172,44.832393,23.774438,1074.308798,-1050.534361,1.584963,71.620587,-70.035624,21.295714,1.419714,89.573998,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.916667,0.9,0.93266,0.933333,0,0,0,0,0,0,4640,10633,2353,93.333333,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.045016,0.169318,10.128603,35.917699,23.774438,2.632715,21.141722,1.584963,0.175514,1.409448,21.615654,1.441044,90.919727,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0,0,0,0,0,0,4236,10633,2353,100,35.555556,'Number of leaves: 4‚nSize of the tree: 7‚n',7,4,4
iris,5,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.055032,0.209015,12.382303,44.338778,23.774438,1074.347856,-1050.573419,1.584963,71.62319,-70.038228,21.256656,1.41711,89.409713,0.8,4,0,0,1,10,0.2,1,1,0.8,0.888889,0.852803,0.9,0.866667,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0,0,0,0,0,4640,10633,2353,93.333333,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.010588,0.015887,2.382303,3.37004,23.774438,0.347856,23.426581,1.584963,0.02319,1.561772,23.426581,1.561772,98.536848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.048485,0.211036,10.909091,44.767535,23.774438,1074.132667,-1050.35823,1.584963,71.608844,-70.023882,21.471845,1.431456,90.314839,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0,0,0,0,0,4640,10633,2353,93.333333,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.048677,0.211057,10.952381,44.772035,23.774438,1074.139062,-1050.364624,1.584963,71.609271,-70.024308,21.465451,1.43103,90.287944,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0,0,0,0,0,4640,10633,2353,93.333333,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,5,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,15,0,0,100,0,0,1,0.009401,0.014865,2.115172,3.153328,23.774438,0.308798,23.465639,1.584963,0.020587,1.564376,23.465639,1.564376,98.701133,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4640,10633,2353,100,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
iris,6,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191009.1119,135,15,14,1,0,93.333333,6.666667,0,0.9,0.053845,0.211342,12.115172,44.832393,23.774438,1074.308798,-1050.534361,1.584963,71.620587,-70.035624,21.295714,1.419714,89.573998,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.916667,0.9,0.93266,0.933333,0,0,0,0,0,0,4640,10633,2353,93.333333,33.333333,'Number of leaves: 5‚nSize of the tree: 9‚n',9,5,5
